"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,County,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
145.310000,144.71000,K0SXY,Repeaters,Polk,Alleman,"Alleman Ham","114.8 PL","114.8 PL",FM,RM,Ham
145.310000,144.71000,K0SXY,Repeaters,Polk,Alleman,"Alleman Ham",,,YSF,RM,Ham
145.310000,144.71000,W0VHQ,"General Amateur Radio",O'Brien,"Sanborn Repeater","Sanborn VHF Ham","110.9 PL","110.9 PL",FM,RM,Ham
145.330000,144.73000,KC0RMS,Repeaters,Buchanan,"Buchanan County Amateur Radio Club - Independence - VHF","BCARC VHF Ham","103.5 PL","103.5 PL",FM,RM,Ham
145.350000,144.75000,N0NHB,Skywarn/ARES,Montgomery,"Coburg Repeater-linked to Red Oak and Clarinda","Coburg Ham",,"146.2 PL",FM,RM,Ham
145.390000,144.79000,W0RFX,Repeaters,Jones,Anamosa,"Anamosa Ham",CSQ,"77.0 PL",FM,RM,Ham
145.390000,144.79000,WB0YLA,Repeaters,Fremont,Thurman,"Thurman Ham","136.5 PL","136.5 PL",FM,RM,Ham
145.390000,144.79000,KF0QI,Repeaters,Polk,"Saylor Township","STAR 1","114.8 PL","114.8 PL",FM,RM,Ham
145.410000,144.81000,AB0VX,"General Amateur Radio",Pottawattamie,"Honey Creek Repeater VHF","HnyCreekHam VHF",,"97.4 PL",FM,RM,Ham
145.410000,144.81000,KE0BX,Repeaters,Wapello,Ottumwa,"Ottumwa Ham",,"100.0 PL",FM,RM,Ham
145.430000,144.83000,W0CS,Repeaters,Clinton,Clinton,"Clinton Ham",CSQ,"100.0 PL",FM,RM,Ham
145.470000,144.87000,KE0BX,Repeaters,Johnson,"Iowa City","Iowa CityHam",CSQ,"100.0 PL",FM,RM,Ham
145.490000,144.89000,KB0VXL,"General Amateur Radio",Mahaska,"Oskaloosa Repeater",OskaloosaHam,CSQ,"146.2 PL",FM,RM,Ham
146.430000,0.00000,,Repeaters,Polk,"ARES 2","Polk ARES 2",CSQ,CSQ,FMN,BM,Ham
146.490000,0.00000,,Simplex,Linn,"Hawkeye Simplex Net","146 49 Smplx",CSQ,CSQ,FM,BM,Ham
146.490000,0.00000,,Repeaters,Polk,"ARES 1","Polk ARES 1",CSQ,CSQ,FMN,BM,Ham
146.505000,0.00000,,Simplex,Linn,"ARES 1 Primary Tactical","Linn ARES 1",CSQ,CSQ,FM,BM,Ham
146.550000,0.00000,,Simplex,Boone,"ARES Back-up","Boone ARES",CSQ,CSQ,FM,BM,Ham
146.565000,0.00000,,Skywarn/ARES,Warren,"ARES Simplex","Warren ARES",CSQ,CSQ,FM,BM,Ham
146.580000,0.00000,,Simplex,Adair,"Simplex - Fallback",AdairHamSMPX,,,FM,BM,Ham
146.610000,146.01000,W0DOG,Repeaters,Dickinson,"Spirit Lake","Sp Lake Ham","110.9 PL","110.9 PL",FM,RM,Ham
146.610000,146.01000,N0INX,Repeaters,Polk,Grimes,"Grimes VHF","114.8 PL","114.8 PL",FM,RM,Ham
146.610000,146.01000,N0INX,Repeaters,Polk,Grimes,"Grimes V P25","293 NAC","293 NAC",P25,RM,Ham
146.640000,146.04000,KD0FGV,Skywarn/ARES,Warren,"Indianola Repeater - Back-up",IndianolaHam,CSQ,"114.8 PL",FM,RM,Ham
146.655000,146.05500,N0NHB,Skywarn/ARES,Montgomery,"Red Oak Repeater-linked to Coburg and Clarinda","Red Oak Ham",,"146.2 PL",FM,RM,Ham
146.655000,146.05500,W0RBK,Repeaters,Grundy,Reinbeck,"Reinbeck Ham","136.5 PL","136.5 PL",FM,RM,Ham
146.670000,146.07000,W0AIX,Repeaters,Jasper,Mingo,"Mingo Ham",,"114.8 PL",FM,RM,Ham
146.670000,146.07000,W0AIX,Repeaters,Jasper,"Mingo DMR","Mingo DMR","CC 1|TG *|SL *",,DMR,RM,Ham
146.685000,146.08500,K0LVB,Repeaters,Linn,Marion,"Marion Ham","192.8 PL","192.8 PL",FM,RM,Ham
146.685000,146.08500,K0LVB,Repeaters,Linn,Marion,"Marion Ham","293 NAC","293 NAC",P25,RM,Ham
146.685000,146.08500,K0LVB,Repeaters,Linn,Marion,"Marion Ham",,,YSF,RM,Ham
146.685000,146.08500,K0RJV,Skywarn/RACES,Webster,"Fort Dodge Repeater","Ft Dodge Ham","110.9 PL","110.9 PL",FMN,RM,Ham
146.685000,0.00000,n/a,"Iowa DMR Users Group",Linn,"Site: 311494 Marion",n/a,n/a,n/a,DMR,RM,TRS
146.700000,146.10000,W0BXR,Repeaters,Scott,Davenport,"W0BXR Fusion",,,YSF,RM,Ham
146.700000,146.10000,KC0MTI,Repeaters,Polk,Johnston,"Johnston Ham","114.8 PL","114.8 PL",FM,RM,Ham
146.700000,146.10000,W0BXR,Repeaters,Scott,Davenport,"W0BXR 700","77.0 PL","77.0 PL",FM,RM,Ham
146.715000,146.11500,N0TCA,"General Amateur Radio",Tama,"Toledo Repeater","Toledo Ham","114.8 PL","114.8 PL",FM,RM,Ham
146.730000,146.13000,W0SHQ,Repeaters,Decatur,Lamoni,"Lamoni Ham",CSQ,"114.8 PL",FM,RM,Ham
146.730000,146.13000,N0LGM,Repeaters,Clinton,Wheatland,"Wheatland Ham","94.8 PL","94.8 PL",FM,RM,Ham
146.730000,146.13000,N0LGM,Repeaters,Clinton,Wheatland,"Wheatland Ham",,,YSF,RM,Ham
146.745000,146.14500,W0GQ,Repeaters,Linn,"Cedar Rapids","CR Ham","192.8 PL","192.8 PL",FM,RM,Ham
146.745000,146.14500,K0BVC,Skywarn/ARES,Shelby,"Portsmouth Repeater",PrtsmouthHam,"136.5 PL","136.5 PL",FM,RM,Ham
146.755000,0.00000,n/a,"Iowa DMR Users Group",Dallas,"Site: 310011 Waukee",n/a,n/a,n/a,DMR,RM,TRS
146.760000,146.16000,W0MCW,Repeaters,"Cerro Gordo","Mason City - Linked to DMX","Mason City76","103.5 PL","103.5 PL",FM,RM,Ham
146.775000,146.17500,KE0EJS,Repeaters,"Buena Vista","Storm Lake","St Lake Ham","110.9 PL","110.9 PL",FM,RM,Ham
146.775000,146.17500,KE0EJS,Repeaters,"Buena Vista","Storm Lake","St Lake VHF P25","293 NAC","11 NAC",P25,RM,Ham
146.790000,146.19000,W0OIC,Repeaters,Dubuque,Dubuque,"Dubuque Ham",,CSQ,FM,RM,Ham
146.790000,146.19000,K0CSQ,Skywarn/RACES,Union,"Creston Repeater","Creston Ham","136.5 PL","136.5 PL",FM,RM,Ham
146.805000,146.20500,KC0UIO,Repeaters,Carroll,Carroll,"Arcaida Ham",,"151.4 PL",FM,RM,Ham
146.820000,146.22000,K0SWI,Skywarn/RACES,Pottawattamie,"Council Bluffs Repeater","CB 82 VHF",CSQ,CSQ,FM,RM,Ham
146.820000,146.22000,W0KWM,Repeaters,Polk,"Des Moines Repeater LOCAL - Lucas State Office Building","DM 82","114.8 PL","114.8 PL",FM,RM,Ham
146.820000,146.22000,W0ALO,Repeaters,"Black Hawk","Waterloo - ARES Secondary","BH Co ARES 2","136.5 PL","136.5 PL",FM,RM,Ham
146.820000,146.22000,W0KWM,Repeaters,Polk,"Des Moines Repeater ICN - Lucas State Office Building","DM 82 ICN",,"203.5 PL",FM,RM,Ham
146.820000,0.00000,n/a,"Iowa DMR Users Group",Clay,"Site: 311927 Spencer",n/a,n/a,n/a,DMR,RM,TRS
146.850000,146.25000,W0JV,Repeaters,Johnson,"Iowa City","Iowa CityHam",CSQ,"192.8 PL",FM,RM,Ham
146.850000,146.25000,KB0TLM,Repeaters,Boone,Boone,"BooneHam VHF","210.7 PL",CSQ,FM,RM,Ham
146.865000,146.26500,N0BKB,Repeaters,Adair,Greenfield,"Greenfld Digital","293 NAC","293 NAC",P25,RM,Ham
146.880000,146.28000,KD0TWE,Skywarn/ARES,Taylor,"Lenox Repeater","Lenox Ham",,"136.5 PL",FM,RM,Ham
146.880000,146.28000,W0BKR,Repeaters,Scott,"Davenport Amateur Radio Club Repeater - Eldridge","W0BKR Eld Fusion",,,YSF,RM,Ham
